City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,kitimat,54.0524,-128.6534,-1.28,60,12,0.99,CA,1739146302
170,ad dilam,23.9915,47.1627,10.62,44,3,1.26,SA,1739146303
171,ingeniero jacobacci,-41.3427,-69.5448,27.29,15,48,9.42,AR,1739146305
172,fuerte olimpo,-21.0415,-57.8738,28.76,47,48,2.14,PY,1739146306
173,holualoa,19.6228,-155.9522,24.91,70,40,4.63,US,1739146189
174,sarikei,2.1167,111.5167,23.54,98,78,0.18,MY,1739146308
175,fort bragg,35.139,-79.006,19.91,54,75,3.6,US,1739146309
176,senirkent,38.1044,30.5486,-1.81,89,15,2.75,TR,1739146310
177,vorgashor,67.5833,63.95,-6.78,94,100,7.82,RU,1739146311
178,iturama,-19.7281,-50.1956,20.19,91,99,2.06,BR,1739146312
179,khandyga,62.6667,135.6,-42.41,100,78,0.96,RU,1739146313
180,mata-utu,-13.2816,-176.1745,29.06,74,54,5.85,WF,1739146314
181,kota kinabalu,5.9749,116.0724,26.6,89,20,3.58,MY,1739146316
182,palmares do sul,-30.2578,-50.5097,23.25,90,9,3.47,BR,1739146318
183,torghay,49.6339,63.4981,-12.6,87,5,4.78,KZ,1739146319
184,viedma,-40.8135,-62.9967,19.61,67,6,7.92,AR,1739146320
185,ribeira grande,38.5167,-28.7,13.76,82,75,6.69,PT,1739146321
186,buala,-8.145,159.5921,29.11,69,80,2.86,SB,1739146322
187,arteche,12.2645,125.4048,24.32,95,100,5.22,PH,1739146323
188,tofol,5.3248,163.0078,28.88,79,75,1.54,FM,1739146324
189,kalmunai,7.4167,81.8167,25.09,70,91,2.65,LK,1739146160
190,gwanda,-20.9333,29.0,20.91,93,100,2.59,ZW,1739146326
191,bay roberts,47.5999,-53.2648,-3.3,91,100,3.13,CA,1739146227
192,mariveles,14.4833,120.4833,18.96,80,75,8.64,PH,1739146328
193,tura,25.5198,90.2201,12.65,47,0,1.45,IN,1739146329
194,broken hill,-31.95,141.4333,29.36,18,0,6.06,AU,1739146331
195,ciudad bolivar,8.1222,-63.5497,28.85,54,88,6.75,VE,1739146080
196,stanley,54.868,-1.6985,3.01,90,75,5.14,GB,1739146334
197,remire-montjoly,4.9167,-52.2667,26.02,89,20,1.54,GF,1739146335
198,ierapetra,35.01,25.7353,9.52,65,4,6.71,GR,1739146336
199,ilulissat,69.2167,-51.1,-14.99,78,75,6.69,GL,1739146338
200,sao vicente,-23.9631,-46.3919,26.66,26,12,2.4,BR,1739146289
201,thompson,55.7435,-97.8558,-22.88,93,100,3.2,CA,1739146341
202,silifke,36.3778,33.9344,8.89,59,33,5.07,TR,1739146237
203,sola,-13.8833,167.55,27.98,70,78,2.72,VU,1739146344
204,nova xavantina,-14.6667,-52.35,22.09,96,60,2.91,BR,1739146345
205,tari,-11.1105,14.3559,18.9,92,74,1.15,AO,1739146346
206,bangui,4.3612,18.555,23.97,48,52,0.92,CF,1739146347
207,zhezqazghan,47.7833,67.7667,-12.58,84,3,5.01,KZ,1739146348
208,myanaung,18.2833,95.3167,19.67,54,14,0.64,MM,1739146349
209,miyako,39.6367,141.9525,0.55,49,35,1.87,JP,1739146351
210,port alfred,-33.5906,26.891,18.43,98,99,3.89,ZA,1739146352
211,ati,13.2154,18.3353,23.22,13,14,4.98,TD,1739146353
212,yokohama,35.4478,139.6425,4.99,45,20,2.06,JP,1739145638
213,argo,37.6333,22.7333,3.54,71,9,1.8,GR,1739146151
214,magomeni,-6.8,39.25,26.28,83,67,2.55,TZ,1739146357
215,sungai raya,0.7,108.9,25.25,88,93,3.61,ID,1739146359
216,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,47,75,1.0,RU,1739146245
217,pio duran,13.0293,123.445,24.86,90,100,7.59,PH,1739146361
218,uige,-7.6087,15.0613,20.91,95,100,0.6,AO,1739146362
219,wynyard,-41.0,145.7167,19.55,46,1,4.47,AU,1739146364
220,flying fish cove,-10.4217,105.6791,25.82,94,40,2.57,CX,1739146366
221,warrnambool,-38.3833,142.4833,19.3,75,100,7.35,AU,1739146367
222,klaksvik,62.2266,-6.589,5.72,78,73,4.5,FO,1739146368
223,kovernino,57.1253,43.8142,-10.01,100,86,1.12,RU,1739146369
224,trenggalek,-8.05,111.7167,25.11,86,100,1.17,ID,1739146370
225,iskateley,67.6803,53.1512,-5.09,89,100,8.21,RU,1739146025
226,keflavik,64.0049,-22.5624,6.24,100,100,11.32,IS,1739146372
227,teguise,29.0605,-13.564,12.12,72,20,1.54,ES,1739146374
228,vernon,50.2581,-119.2691,-5.14,61,54,0.89,CA,1739146375
